Match_ID,Innings,Batting_Team,Bowling_Team,Venue,Match_Format,Batsman_Name,Bowler_Name,Runs_Scored,Balls_Faced,Fours,Sixes,Total_Boundaries,Strike_Rate_Calc,Wickets_Taken,Overs_Numeric,Economy_Rate,Dismissal_Type,Player_Role,Match_Date_Clean,Match_Month,Match_Year
78001,2,India,West Indies,Melbourne,ODI,Williamson,Afridi,160,16,3,12,84,1000,3,5.912401873,15.9,Caught,Bowler,2020-01-01,2020-01,2020
65307,1,England,New Zealand,Auckland,ODI,Kohli,Southee,32,33,13,13,130,96.97,0,5.912401873,9.13,Caught,Batsman,,,
26732,2,Australia,West Indies,Auckland,ODI,Kohli,Joseph,43,109,10,9,94,39.45,3,5.912401873,6.09,Run Out,Batsman,,,
18742,1,Afghanistan,New Zealand,Mumbai,T20,Williamson,Woakes,167,74,11,6,80,225.68,0,,,LBW,Batsman,,,
10028,1,Australia,South Africa,Kolkata,ODI,Smith,Malinga,129,136,6,10,84,94.85,1,,,LBW,All-Rounder,,,
38353,2,Australia,England,Chennai,Test,Faf,Bumrah,62,38,8,10,92,163.16,3,5.912401873,1.69,Run Out,Bowler,2020-01-01,2020-01,2020
55657,2,India,England,Chennai,Test,Williamson,Woakes,78,66,6,10,84,118.18,2,,,Not Out,,,,
39164,1,New Zealand,West Indies,Melbourne,T20,Kohli,Afridi,44,119,14,11,122,36.97,-1,,,Run Out,All-Rounder,2021-05-10,2021-05,2021
53887,2,Pakistan,West Indies,Delhi,ODI,Root,Starc,105,131,1,6,40,80.15,3,,,Hit Wicket,,,,
43522,1,Afghanistan,England,,Test,Smith,Bumrah,28,108,9,10,96,25.93,3,,,Run Out,Bowler,,,
68593,1,Australia,England,Delhi,Test,Warner,Rashid,126,143,1,13,82,88.11,1,,,Caught,Bowler,,,
17901,2,South Africa,South Africa,Johannesburg,ODI,Russell,Rabada,-1,124,10,4,64,-0.81,0,,,Hit Wicket,All-Rounder,2020-01-01,2020-01,2020
21595,2,Australia,India,London,Test,Williamson,Rabada,113,58,8,14,116,194.83,0,,,LBW,Bowler,2020-01-01,2020-01,2020
75043,1,Bangladesh,India,Kolkata,ODI,Warner,Starc,132,24,5,7,62,550,0,,,Bowled,,,,
22216,1,Pakistan,Australia,Kolkata,Test,Warner,Rabada,154,132,21,14,168,116.67,0,5.912401873,5.92,Caught,Batsman,2021-05-10,2021-05,2021
39536,1,South Africa,Afghanistan,London,T20,Kohli,Rashid,97,128,13,0,52,75.78,-1,,,Bowled,,2020-01-01,2020-01,2020
28184,1,Bangladesh,New Zealand,Mumbai,T20,Nabi,Rashid,168,147,15,5,90,114.29,1,,,Stumped,Batsman,,,
96529,1,New Zealand,Australia,,T20,Williamson,Malinga,-8,138,18,10,132,-5.8,-1,5.912401873,7.27,Hit Wicket,Bowler,,,
