Match_ID,Innings,Batting_Team,Bowling_Team,Venue,Match_Format,Batsman_Name,Bowler_Name,Runs_Scored,Balls_Faced,Fours,Sixes,Strike_Rate,Wickets_Taken,Overs_Bowled,Runs_Conceded,Dismissal_Type,Match_Date,Player_Role
78001,2,India,West Indies,Melbourne,ODI,Williamson,Afridi,160,16,3,12,NA,3,5.912401873223555,94,Caught,2020-01-01,Bowler
65307,1,England,New Zealand,Auckland,ODI,Kohli,Southee,32,33,13,13,---,0,5.912401873223555,54,Caught,,Batsman
26732,2,Australia,West Indies,Auckland,ODI,Kohli,Joseph,43,109,10,9,123.3332974019075,3,5.912401873223555,36,Run Out,,Batsman
18742,1,Afghanistan,New Zealand,Mumbai,T20,Williamson,Woakes,167,74,11,6,NA,0,-,-1,LBW,Unknown,Batsman
10028,1,Australia,South Africa,Kolkata,ODI,Smith,Malinga,129,136,6,10,---,1,NA,98,LBW,Unknown,All-Rounder
38353,2,Australia,England,Chennai,Test,Faf,Bumrah,62,38,8,10,---,3,5.912401873223555,10,Run Out,2020-01-01,Bowler
55657,2,India,England,Chennai,Test,Williamson,Woakes,78,66,6,10,NA,2,-,45,Not Out,,Unknown
39164,1,New Zealand,West Indies,Melbourne,T20,Kohli,Afridi,44,119,14,11,NA,-1,-,85,Run Out,2021-05-10,All-Rounder
53887,2,Pakistan,West Indies,Delhi,ODI,Root,Starc,105,131,1,6,---,3,-,83,Hit Wicket,Unknown,Unknown
43522,1,Afghanistan,England,Unknown,Test,Smith,Bumrah,28,108,9,10,123.3332974019075,3,-,0,Run Out,Unknown,Bowler
68593,1,Australia,England,Delhi,Test,Warner,Rashid,126,143,1,13,NA,1,NA,9,Caught,Unknown,Bowler
17901,2,South Africa,South Africa,Johannesburg,ODI,Russell,Rabada,-1,124,10,4,NA,0,-,29,Hit Wicket,2020-01-01,All-Rounder
21595,2,Australia,India,London,Test,Williamson,Rabada,113,58,8,14,NA,0,NA,17,LBW,2020-01-01,Bowler
75043,1,Bangladesh,India,Kolkata,ODI,Warner,Starc,132,24,5,7,NA,0,-,-2,Bowled,,Unknown
22216,1,Pakistan,Australia,Kolkata,Test,Warner,Rabada,154,132,21,14,NA,0,5.912401873223555,35,Caught,2021-05-10,Batsman
39536,1,South Africa,Afghanistan,London,T20,Kohli,Rashid,97,128,13,0,---,-1,-,42,Bowled,2020-01-01,Unknown
28184,1,Bangladesh,New Zealand,Mumbai,T20,Nabi,Rashid,168,147,15,5,---,1,NA,50,Stumped,,Batsman
96529,1,New Zealand,Australia,Unknown,T20,Williamson,Malinga,-8,138,18,10,123.3332974019075,-1,5.912401873223555,43,Hit Wicket,Unknown,Bowler
72619,1,India,Australia,Sydney,T20,Williamson,Bumrah,141,96,5,2,---,6,-,9,Hit Wicket,Unknown,Unknown
82225,2,New Zealand,New Zealand,Melbourne,Test,Warner,Afridi,77,99,12,10,NA,5,5.912401873223555,-5,Caught,2021-05-10,Bowler
88541,2,India,West Indies,Sydney,Test,Faf,Starc,-2,31,9,1,NA,4,NA,40,Unknown,2020-01-01,Batsman
28768,1,New Zealand,Pakistan,Chennai,ODI,Faf,Southee,22,107,2,1,123.3332974019075,5,5.912401873223555,78,Stumped,2020-01-01,All-Rounder
75975,2,Sri Lanka,England,Sydney,Test,Smith,Bumrah,3,81,19,13,123.3332974019075,0,5.912401873223555,26,Bowled,2020-01-01,Bowler
21604,1,New Zealand,Australia,Johannesburg,T20,Kohli,Malinga,-8,35,20,3,---,0,-,60,LBW,2020-01-01,Bowler
80739,1,Pakistan,Australia,Unknown,T20,Faf,Rabada,45,87,0,8,NA,5,-,-3,Caught,2021-05-10,All-Rounder
99278,1,Pakistan,Australia,Mumbai,ODI,Kohli,Rabada,69,127,2,10,NA,5,-,25,Not Out,Unknown,Unknown
92220,2,Australia,Sri Lanka,Kolkata,ODI,Babar,Malinga,152,95,18,0,---,6,-,-4,LBW,2021-05-10,Bowler
